cancelar pedido,cancele tudo
cardapio,"Olá, gostaria de ver o cardapio"
cardapio,Quero o cardapio
cardapio,Quero cardapio
cardapio,quero o cardapinho
cardapio,cade o cardapio
cardapio,vou querer olhar o cardapio
cardapio,"Meu querido, me manda o cardapio"
cardapio,quero o ver os items
cardapio,quero ver o menu
cardapio, pode me ver o cardapio
cardapio ,meu consagrado quero saber oq servem aqui
cardapio , me ve o cardapio
cardapio ,qual sabor tem
cardapio ,traz o menu
cardapio ,quero ver o cardapio
cardapio ,quero menu
cardapio , quais as opções
cardapio , trabalham com o que
cardapio , quais as opções de menu
cardapio , o que vocês tem
cardapio ,fala meu campeao traz o cardapio
cardapio , o que tem de rango
cardapio ,tabela de preços
cardapio ,quero saber os valores
cardapio ,quais os preços
conta, Quero a conta!
conta, Me ve a conta aí
conta, Manda a conta.
conta,  Quero a conta logo
conta, Quero a conta.
conta, traz a conta ai por favor
conta, agora quero pedir a conta
conta, manda a conta ai
conta, manda a continha
conta, quanto o total
conta, qual o total
conta, deu quanto
conta, qual o valor
conta, me ve a conta ai
conta, me ve a conta
conta, vou pagar
conta, Pode mandar a conta
conta, quanto deu tudo?
conta, traz a conta
conta, manda a facada
conta, qual o roubo
conta, quanto deu tudo
conta, quero pagar
conta, deu quanto tudo?
conta, meu pagamento vai ser em cartao
conta, "meu nobre, me vê a conta"
conta, qual o valor total?
conta, manda aquela continha
conta, calcule o total por favor
conta, quero a conta o mais rapido possivel
conta, pedir conta
conta, quero a conta
conta, manda a continha
conta, faz a conta da coca ai
garçom,Gostaria que um atendente venha a minha mesa.
garçom, Quero um garçom na minha mesa.
garçom, Mande um garçom aqui por favor.
garçom, Quero outro garçom na minha mesa.
garçom, Cade o garçom dessa pocilga
garçom, Manda garçom.
garçom, traz o garçom
garçom, quero o atendente aqui
garçom, cade os atendentes aqui
garçom, manda aquele garçom por favor
garçom, quem atende aqui
garçom, "derrubei agua, manda um garçom limpar aqui"
garçom, "Chefe, pode vir aqui?"
garçom, "garçom, venha"
garçom,gostaria de ser atendido por uma pessoa
garçom,alguem poder vir aqui?
garçom,garçom venha aqui
garçom,quero um ser humano aqui
garçom,quero o garçom
garçom,manda alguem aqui
garçom,quero ser atendido por alguem
garçom,traz o garçom
garçom,quero um ser humano aqui
garçom,quero falar com alguem
ola,['saudacao']
uma pizza,['pedido']
estao abertos?,['informacao']
meu consagrado,['saudacao']
quero uma clabreza,['pedido']
quanto deu o meu?,['conta']
ola,['saudacao']
noa noite,['saudacao']
gostaria de pedir uma pizza,['pedido']
ola,['saudacao']
o que voces tem,['cardapio ']
boa noite,['saudacao']
o cardapio,['cardapio']
ola,['saudacao']
trabalham com o que?,['cardapio ']
ola,['saudacao']
cardapio,['cardapio']
cardapio,['cardapio']
boa noite,['saudacao']
o cardapio por favor,['conta']
o cardapio,['cardapio']
boa noite,['saudacao']
trabalham com o que,['cardapio ']
